Device Type,Network Technology,LTE catagory support
Modem,LTE Only,Cat 1
Modem,LTE Only,Cat 4
Modem,LTE Only,Cat 4
Modem,LTE Only,Cat M1
Alarm Panel,LTE Only,Cat M1
Smartphone,LTE with CDMA Multimode,Cat 7
Utility / Smart Grid,LTE Only,Cat 1
Smartphone,LTE with GSM/UMTS,Cat 12
Smartphone,LTE with CDMA Multimode with GSM/UMTS,Cat 6
Point of Sale / Vending,LTE Only,Cat 1
Smartphone,Cat 11,
Router,LTE Only,Cat 4
Remote Monitoring and Control,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Vehicle Monitoring,LTE Only,Cat 4
Router,LTE with CDMA Multimode with GSM/UMTS,Cat 3
Router,LTE with CDMA Multimode with GSM/UMTS,Cat 3
Router,LTE with CDMA Multimode with GSM/UMTS,Cat 3
Utility / Smart Grid,LTE with CDMA Multimode with GSM/UMTS,Cat 4
Remote Monitoring and Control,LTE Only,Cat 1
Utility / Smart Grid,LTE Only,Cat 1
Modem,LTE Only,Cat 6
Utility / Smart Grid,LTE Only,Cat 1
Router,LTE Only,Cat 3
Utility / Smart Grid,LTE Only,Cat 4
Router,LTE with CDMA Multimode,Cat 4
Router,LTE Only,Cat 1
Utility / Smart Grid,LTE Only,Cat 4
Smartphone,LTE with CDMA Multimode,Cat 6
Router,LTE Only,
Camera,LTE Only,Cat 4
Router,LTE with GSM/UMTS,Cat 3
Vehicle Monitoring,LTE with CDMA Multimode,Cat 3
Vehicle Monitoring,LTE with CDMA Multimode,Cat 3
Modem,LTE Only,Cat 1
Router,LTE Only,Cat 6
Modem,LTE Only,Cat 1
Smartphone,,Cat 4
Router,LTE Only,Cat 1
Router,LTE Only,Cat 1
Utility / Smart Grid,LTE Only,Cat 1
Router,LTE with CDMA Multimode with GSM/UMTS,Cat 4
Telemedicine / Medical,LTE Only,Cat 1
Modem,LTE Only,Cat 1
Router,LTE with GSM/UMTS,Cat 3
Vehicle Monitoring,LTE Only,Cat 1
Asset Tracking,LTE Only,Cat 4
Remote Monitoring and Control,LTE Only,Cat 1
Point of Sale / Vending,LTE Only,Cat 1
Modem,LTE Only,Cat 1
Modem,LTE Only,Cat 1
Router,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS,Cat 4
Remote Monitoring and Control,LTE Only,Cat 1
Router,LTE with CDMA Multimode,Cat 4
Router,LTE with CDMA Multimode,Cat 4
Modem,LTE Only,Cat 4
Camera,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS,Cat 4
Tablet,LTE with CDMA Multimode,Cat 4
Router,LTE with GSM/UMTS,Cat 6
Utility / Smart Grid,LTE Only,Cat 3
Vehicle Monitoring,LTE with CDMA Multimode,Cat 3
Utility / Smart Grid,LTE Only,Cat 3
Modem,LTE Only,Cat 1
Camera,LTE with CDMA Multimode with GSM/UMTS,Cat 4
Utility / Smart Grid,LTE Only,Cat 4
Router,LTE with CDMA Multimode with GSM/UMTS,Cat 4
Utility / Smart Grid,LTE Only,Cat 4
Router,LTE with CDMA Multimode,Cat 4
Router,LTE with CDMA Multimode,Cat 4
Laptop,LTE with CDMA Multimode,Cat 3
Tablet,LTE with CDMA Multimode,Cat 3
Router,LTE with CDMA Multimode,
Router,LTE with CDMA Multimode,
Asset Tracking,LTE Only,Cat 4
Telemedicine / Medical,LTE Only,Cat M1
Router,LTE Only,Cat 11
Router,LTE with GSM/UMTS,Cat 11
Smartphone,LTE with CDMA Multimode,Cat 4
Modem,LTE Only,Cat 1
Telemedicine / Medical,LTE Only,Cat M1
Smartphone,LTE with CDMA Multimode with GSM/UMTS,Cat 8
Router,LTE with GSM/UMTS,Cat 11
Smartphone,LTE with CDMA Multimode,Cat 4
Modem,LTE Only,Cat 1
Remote Monitoring and Control,LTE Only,Cat 1
Tablet,Cat 6,
Modem,LTE Only,Cat M1
Smartphone,LTE with CDMA Multimode,Cat 18
Router,LTE Only,Cat 4
Smartphone,LTE with CDMA Multimode with GSM/UMTS,Cat 9
Router,LTE with CDMA Multimode,Cat 6
Router,LTE Only,Cat 4
Router,LTE Only,Cat 12
Smartphone,LTE with CDMA Multimode,Cat 12
Remote Monitoring and Control,LTE Only,Cat M1
Utility / Smart Grid,LTE Only,Cat 4
Utility / Smart Grid,LTE with GSM/UMTS,Cat 4
Rugged Handheld / Smartphone,LTE Only,Cat 12
Router,LTE with GSM/UMTS,Cat 4
Modem,LTE Only,Cat 4
Router,LTE Only,Cat 4
Router,LTE with 5G NR NSA,Cat 22
Router,LTE Only,Cat 12
Camera,LTE with GSM/UMTS,Cat 4
Router,LTE with 5G NR NSA,Cat 20
Router,LTE Only,Cat 4
Modem,LTE Only,Cat 6
Laptop,LTE with GSM/UMTS,Cat 12
Tablet,Cat 15,
Laptop,LTE Only,Cat 20
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Rugged Handheld / Smartphone,LTE with GSM/UMTS and 5G NR NSA,
Router,LTE Only,Cat 4
Router,LTE Only,Cat 6
Tablet,LTE with 5G NR NSA,Cat 15
Tablet,LTE Only,Cat 12
Tablet,LTE with GSM/UMTS and 5G NR NSA,Cat 16
Laptop,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE with 5G NR NSA,Cat 22
Router,LTE with 5G NR NSA,Cat 20
Laptop,LTE Only,Cat 12
Router,LTE Only,Cat 4
Kiosk / Signage,LTE Only,Cat 6
Router,LTE Only,Cat 4
Rugged Handheld / Smartphone,Cat 18,
Router,LTE Only,Cat 4
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Video Streaming Encoder,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE Only,Cat 4
Router,LTE Only,Cat 4
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Smartphone,LTE with GSM/UMTS,Cat 13
Asset Tracking,LTE Only,Cat M1
Router,LTE with 5G NR NSA,Cat 19
Router,LTE Only,Cat 6
